NAME,MSINI,A,PER,ECC,OM,T0,K,ORBREF,ORBURL,FIRSTREF,FIRSTURL,MICROLENSING,IMAGING,TIMING,ASTROMETRY,MASS,DIST,R,MSTAR,FE,DATE,STARDISCMETH,RSTAR,TEFF
,mjupiter,au,day,,deg,jd,m/s,,,,,,,,,mjupiter,pc,rjupiter,msun,,,,rsun,k
Kepler-107 d,,0.0780099,7.958203,,90,2454970.79968,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,0,0,0,0.00371234,,0.095459,,,2014,Transit,1.411,5851
Kepler-1049 b,,0.0344721,3.27346074,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.00245309,129,0.085,0.51,-0.33,2016,Transit,0.49,3864
Kepler-813 b,,0.13761,19.12947337,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.0159697,840,0.191,0.95,-0.13,2016,Transit,0.93,5743
Kepler-427 b,0.310432,0.091351,10.290994,0,90,2454970.02207,29.8,Hebrard 2014,http://adsabs.harvard.edu/abs/2014A%26A...572A..93H,Borucki 2010,http://adsabs.harvard.edu/abs/2010Sci...327..977B,0,0,0,0,0.29,1100,1.23,0.96,-0.19,2010,Transit,1.35,5800
Kepler-1056 b,,0.185149,27.495606,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.0271261,971,0.269,1.12,0.02,2016,Transit,1.2,6127
Kepler-1165 b,,0.0912977,9.478522,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.0115843,1081,0.138,1.13,0.05,2016,Transit,1.18,6080
Kepler-1104 b,,0.0627651,5.03728015,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.00609283,516,0.11,1.3,0.13,2016,Transit,1.41,6417
WASP-14 b,7.65457,0.0367693,2.243752,0.091,253.371,2454462.3304,993,Joshi 2009,http://adsabs.harvard.edu/abs/2009MNRAS.392.1532J,Joshi 2009,http://adsabs.harvard.edu/abs/2009MNRAS.392.1532J,0,0,0,0,7.69234,160,1.281,1.31,0,2009,Transit,1.31,6475
Kepler-50 b,,0.0825598,7.8125124,,,,,Steffen 2013,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,0,0,1,0,0.0164915,,0.196096,1.23,,2011,Transit,1.88,6058
NN Ser d,0.642621,3.70596,2605,0.05,152,2458029,9.5,Horner 2012,http://adsabs.harvard.edu/abs/2012MNRAS.425..749H,Beuermann 2010,http://adsabs.harvard.edu/abs/2010A%26A...521L..60B,0,0,1,0,0.642621,,,,,2010,Timing,,
WASP-105 b,1.75919,0.0745473,7.87288,0,90,2456600.0765,194,Anderson 2017,http://adsabs.harvard.edu/abs/2017A%26A...604A.110A,Anderson 2017,http://adsabs.harvard.edu/abs/2017A%26A...604A.110A,0,0,0,0,1.75922,,0.981089,0.89,0.28,2017,Transit,0.9,5070
GJ 625 b,0.0089295,0.0783624,14.628,0.13,343.1,,1.67,Suarez Mascareno 2017,http://adsabs.harvard.edu/abs/2017A%26A...605A..92S,Suarez Mascareno 2017,http://adsabs.harvard.edu/abs/2017A%26A...605A..92S,0,0,0,0,0.0089295,6.49,,0.3,-0.38,2017,RV,0.31,3499
Kepler-1279 b,,0.170989,23.4774101,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.0129028,1017,0.156,1.21,0.06,2016,Transit,1.33,6221
Kepler-1599 b,,0.48075,122.363553,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.0120821,1004,0.145,0.99,0.02,2016,Transit,0.99,5767
Kepler-20 b,0.0266149,0.0453704,3.6961219,0,79.2157,2454966.34,3.72,Gautier 2012,http://adsabs.harvard.edu/abs/2012ApJ...749...15G,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,0,0,0,0,0.0266646,290,0.170247,0.912,0.02,2011,Transit,0.944,5466
HAT-P-27 b,0.615135,0.0399488,3.039577,0,90,2455407.9088,91.2,Brown 2012,http://adsabs.harvard.edu/abs/2012ApJ...760..139B,Anderson 2011,http://adsabs.harvard.edu/abs/2011PASP..123..555A,0,0,0,0,0.617485,204,1.02,0.92,0.14,2011,Transit,0.87,5190
Kepler-181 b,,0.0419466,3.137873,,90,2454966.5556199998,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,0,0,0,0.00674351,,0.113302,,,2014,Transit,0.749,5333
HD 116029 b,1.9075,1.64869,670,0,40,2455220,36.6,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,0,0,0,0,1.9075,123.198,,1.33,0.08,2011,RV,5.04235,4811
Kepler-207 b,,0.0269045,1.611865,,90,2454966.57041,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,0,0,0,0.0117295,,0.140066,,,2014,Transit,1.588,5920
